Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Sagility India Ltd,12-Nov-24,30,31.06,45.69,52.3
Afcons Infrastructure Ltd,04-Nov-24,463,430.05,452.7,-2.22
Usha Financial Services Ltd,31-Oct-24,168,164,91,-45.83
Godavari Biorefineries Ltd,30-Oct-24,352,310.55,169,-51.99
OBSC Perfection Ltd,29-Oct-24,100,110,167.3,67.3
United Heat Transfer Ltd,29-Oct-24,59,60.95,59.85,1.44
Danish Power Ltd,29-Oct-24,380,570,793.75,108.88
Waaree Energies Ltd,28-Oct-24,1503,2550,2260.7,50.41
Premium Plast Ltd,28-Oct-24,49,51.45,39.85,-18.67
Deepak Builders & Engineers India Ltd,28-Oct-24,203,198.5,157.13,-22.6
Freshara Agro Exports Ltd,24-Oct-24,116,135,161.5,39.22
Hyundai Motor India Ltd,22-Oct-24,1960,1931,1797.9,-8.27
Pranik Logistics Ltd,17-Oct-24,77,79,78,1.3
Shiv Texchem Ltd,15-Oct-24,166,239,236.75,42.62
Garuda Construction and Engineering Ltd,15-Oct-24,95,103.2,108.27,13.97
Khyati Global Ventures Ltd,11-Oct-24,99,105,56.25,-43.18
Neopolitan Pizza and Foods Ltd,09-Oct-24,20,19.25,17.1,-14.5
Subam Papers Ltd,08-Oct-24,152,142,112.5,-25.99
Paramount Dye Tec Ltd,08-Oct-24,117,109.9,65.45,-44.06
HVAX Technologies Ltd,07-Oct-24,458,486,635,38.65
Saj Hotels Ltd,07-Oct-24,65,55,79,21.54
Nexxus Petro Industries Ltd,04-Oct-24,105,126,135,28.57
Divyadhan Recycling Industries Ltd,04-Oct-24,64,84,54.2,-15.31
Forge Auto International Ltd,04-Oct-24,108,113,90.65,-16.06
Diffusion Engineers Ltd,04-Oct-24,168,188,258.6,53.93
KRN Heat Exchanger and Refrigeration Ltd,03-Oct-24,220,470,845.95,284.52
Thinking Hats Entertainment Solutions Ltd,03-Oct-24,44,60,33,-25
Techera Engineering India Ltd,03-Oct-24,82,125,153.8,87.56
Unilex Colour & Chemical Ltd,03-Oct-24,87,89,63,-27.59
Manba Finance Ltd,30-Sep-24,120,150,135.07,12.56
Rappid Valves India Ltd,30-Sep-24,222,312,270.45,21.82
WOL 3D India Ltd,30-Sep-24,150,180.05,128.5,-14.33
Phoenix Overseas Ltd,27-Sep-24,64,64,23.1,-63.91
Avi Ansh Textile Ltd,27-Sep-24,62,68,100,61.29
S D Retail Ltd,27-Sep-24,131,145,108.9,-16.87
Kalana Ispat Ltd,26-Sep-24,66,45.15,38.2,-42.12
Paramount Speciality Forgings Ltd,25-Sep-24,59,83,59,0
Western Carriers (India) Ltd,24-Sep-24,172,170,93.74,-45.5
Pelatro Ltd,24-Sep-24,200,275,332,66
OSEL Devices Ltd,24-Sep-24,160,198.05,235.2,47
Deccan Transcon Leasing Ltd,24-Sep-24,108,116,58.75,-45.6
Envirotech Systems Ltd,24-Sep-24,56,106.4,101.55,81.34
Northern ARC Capital Ltd,24-Sep-24,263,351,173.76,-33.93
Popular Foundations Ltd,24-Sep-24,37,37,31.2,-15.68
Arkade Developers Ltd,24-Sep-24,128,175.9,146.09,14.13
Sodhani Academy of Fintech Enablers Ltd,23-Sep-24,40,53,199.45,398.63
Excellent Wires and Packaging Ltd,19-Sep-24,90,85,54.05,-39.94
Innomet Advanced Materials Ltd,18-Sep-24,100,190,162,62
P N Gadgil Jewellers Ltd,17-Sep-24,480,834,560.05,16.68
SPP Polymer Ltd,17-Sep-24,59,63,25.2,-57.29
Bajaj Housing Finance Ltd,16-Sep-24,70,150,113.54,62.2
Shubhshree Biofuels Energy Ltd,16-Sep-24,119,189,324.3,172.52
Aditya Ultra Steel Ltd,16-Sep-24,62,69.9,38.85,-37.34
Gajanand International Ltd,16-Sep-24,36,42,13.6,-62.22
Kross Ltd,16-Sep-24,240,240,180.58,-24.76
Tolins Tyres Ltd,16-Sep-24,226,227,130.39,-42.31
Share Samadhan Ltd,16-Sep-24,74,73.05,76,2.7
Innova Captab Ltd,29-Dec-23,448,456.1,784.15,75.03
Supreme Power Equipment Ltd,29-Dec-23,65,98,127.95,96.85
Indifra Ltd,29-Dec-23,65,72,16.1,-75.23
Trident Techlabs Ltd,29-Dec-23,35,98.15,890.75,2445
Azad Engineering Ltd,28-Dec-23,524,710,1358.05,159.17
Happy Forgings Ltd,27-Dec-23,850,1001.25,882.1,3.78
Electro Force (India) Ltd,27-Dec-23,93,100,41,-55.91
RBZ Jewellers Ltd,27-Dec-23,100,100,171.49,71.49
Credo Brands Marketing Ltd,27-Dec-23,280,282,129.22,-53.85
Shanti Spintex Ltd,27-Dec-23,70,76,68.25,-2.5
Sahara Maritime Ltd,26-Dec-23,81,81,48.5,-40.12
Muthoot Microfin Ltd,26-Dec-23,291,278,134.82,-53.67
Suraj Estate Developers Ltd,26-Dec-23,360,343.8,354.25,-1.6
Motisons Jewellers Ltd,26-Dec-23,55,103.9,19.84,-63.93
Inox India Ltd,21-Dec-23,660,933.15,915.9,38.77
Shree OSFM E-Mobility Ltd,21-Dec-23,65,65,107.95,66.08
Siyaram Recycling Industries Ltd,21-Dec-23,46,55,124.6,170.87
Benchmark Computer Solutions Ltd,21-Dec-23,66,80,36.99,-43.95
India Shelter Finance Corporation Ltd,20-Dec-23,493,612.7,694.3,40.83
Doms Industries Ltd,20-Dec-23,790,1400,2553.25,223.2
S J Logistics (India) Ltd,19-Dec-23,125,175,545.4,336.32
Presstonic Engineering Ltd,18-Dec-23,72,140,95,31.94
Accent Microcell Ltd,15-Dec-23,140,300,229.35,63.82
Graphisads Ltd,13-Dec-23,111,111.5,50.6,-54.41
Sheetal Universal Ltd,11-Dec-23,70,75,76.75,9.64
Marinetrans India Ltd,08-Dec-23,26,30,20.6,-20.77
Net Avenue Technologies Ltd,08-Dec-23,18,42,6.45,-64.17
Amic Forging Ltd,06-Dec-23,126,239.4,1165,824.6
Deepak Chemtex Ltd,06-Dec-23,80,152,102.9,28.63
Swashthik Plascon Ltd,05-Dec-23,86,120.1,67,-22.09
Flair Writing Industries Ltd,01-Dec-23,304,503,225.15,-25.94
Tata Technologies Ltd,30-Nov-23,500,1199.95,742.55,48.51
Rockingdeals Circular Economy Ltd,30-Nov-23,140,300,499.1,256.5
Gandhar Oil Refinery (India) Ltd,30-Nov-23,169,295.4,152.04,-10.04
Fedbank Financial Services Ltd,30-Nov-23,140,137.75,93.72,-33.06
Indian Renewable Energy Development Agency Ltd,29-Nov-23,32,50,177.34,454.19
Arrowhead Seperation Engineering Ltd,28-Nov-23,233,250,99.95,-57.1
Sunrest Lifescience Ltd,20-Nov-23,84,84,57,-32.14
Kalyani Cast-Tech Ltd,17-Nov-23,139,264.1,415.05,198.6
ROX Hi-Tech Ltd,16-Nov-23,83,135,69.95,-15.72
ASK Automotive Ltd,15-Nov-23,282,304.9,436.1,54.65
Baba Food Processing India Ltd,15-Nov-23,76,76,49.2,-35.26
Protean eGov Technologies Ltd,13-Nov-23,792,792,1419,79.17
ESAF Small Finance Bank Ltd,10-Nov-23,60,71.9,30.78,-48.7
